Consulta de Precios y Stock,,,,,,
,,,,,,
Código,Producto,GENERAL,DEPOSITO,Proveedor,Unidad,Observaciones
14111,CLIP MIT N°5,890.00,0.00,,UNIDAD,
1411115,CINTA DE PAPEL 18MM X40 SELLOX X 1,"3,000.00",-1.00,COMERCIAL SUMA SRL,UNIDAD,
141113,CINTA DE PAPEL 24MM SELLOX X 40MT,"3,300.00",0.00,,UNIDAD,
141114,CINTA DE PAPEL 12MM SELLOX X 40MT,"2,000.00",-1.00,COMERCIAL SUMA SRL,UNIDAD,
141117,CINTA ADHESIVA REXON ECOPACK 24MM X 40MT,"1,000.00",0.00,,UNIDAD,
141118,CINTA ADHESIVA AUCA 12MM X 25M,600.00,0.00,COMERCIAL SUMA SRL,UNIDAD,
141119,CINTA ADHESIVA CELESTE LUNARES,850.00,0.00,,UNIDAD,
14112,PLASTICOLA TINTORETTO 30G,350.00,0.00,,UNIDAD,
141120,CINTA STIKO 18X25,980.00,0.00,,UNIDAD,
141121,CINTA DE EMBALAR 48MM X40M,"1,700.00",-1.00,COMERCIAL SUMA SRL,UNIDAD,
141122,BANDITAS ELASTICAS 100G EZCO,"1,900.00",0.00,COMERCIAL SUMA SRL,UNIDAD,
141123,BANDITAS ELASTICAS 50G EZCO,"1,100.00",0.00,COMERCIAL SUMA SRL,UNIDAD,
141127,DETECTOR DE BILLETES FALSOS PELIKAN,"2,890.00",0.00,,UNIDAD,
141128,MARCADOR EZCO PUNTA DOBLE,"1,100.00",0.00,,UNIDAD,
141129,MICROFIBRAS FILGO,700.00,0.00,,UNIDAD,
14113,PEGAMENTO EN BARRA STA,"1,900.00",0.00,,UNIDAD,
141130,MARCADOR PERMANENTE FILGO,"1,000.00",0.00,,UNIDAD,
141131,SILICONA LIQUIDA 30ML,"1,300.00",0.00,,UNIDAD,
141132,ADHESIVO TELGOPOR GOMA EVA AD,"1,900.00",-1.00,,UNIDAD,
141133,SILICONA LIQUIDA CBX 100ML,"3,500.00",0.00,COMERCIAL SUMA SRL,UNIDAD,
141134,SILICONA LIQUIDA CBX 30ML,"1,500.00",-1.00,COMERCIAL SUMA SRL,UNIDAD,
141137,PALITOS DE HELADO NATURAL X50,"1,300.00",0.00,COMERCIAL SUMA SRL,UNIDAD,
14114,POXIPOL 10MIN,"3,000.00",0.00,,UNIDAD,
141140,VOLIGOMA 50 ML.,"3,900.00",-1.00,,UNIDAD,
141141,VOLIGOMA CHICA 30 ML.,"2,500.00",-1.00,,UNIDAD,
141142,BORRADOR DE TIZA PIZARRON,"1,900.00",0.00,,UNIDAD,
141143,PORCELANA FRIA 500G DELARTE,"6,500.00",0.00,COMERCIAL SUMA SRL,UNIDAD,
141144,PORCELANA FRIA 250G DELARTE,"3,500.00",0.00,COMERCIAL SUMA SRL,UNIDAD,
141146,LAPIZ NEGRO C/CUENTAS,400.00,18.00,,UNIDAD,
141147,LAPIZ MAPED NEGRO,750.00,0.00,,UNIDAD,
141148,LAPIZ NEGRO FABER,550.00,0.00,,UNIDAD,
141149,LAPIZ NEGRO VERDE FABER,550.00,0.00,,UNIDAD,
14115,EPOXY MACAO,"2,000.00",0.00,,UNIDAD,
141150,CINTA SILICONA ADHESIVA DOBLE FAZ 30MM X 1U CBX,"5,200.00",0.00,,UNIDAD,
